name
k__Archaea|p__Euryarchaeota
k__Bacteria|p__Actinobacteria
k__Bacteria|p__Bacteroidetes
k__Bacteria|p__Cyanobacteria
k__Bacteria|p__Firmicutes
k__Bacteria|p__Fusobacteria
k__Bacteria|p__Lentisphaerae
k__Bacteria|p__Proteobacteria
k__Bacteria|p__Synergistetes
k__Bacteria|p__Tenericutes
k__Bacteria|p__Verrucomicrobia
k__Archaea|p__Euryarchaeota|c__Methanobacteria
k__Bacteria|p__Actinobacteria|c__Actinobacteria
k__Bacteria|p__Bacteroidetes|c__Bacteroidia
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia
k__Bacteria|p__Cyanobacteria|c__4C0d-2
k__Bacteria|p__Cyanobacteria|c__Chloroplast
k__Bacteria|p__Firmicutes|c__Bacilli
k__Bacteria|p__Firmicutes|c__Clostridia
k__Bacteria|p__Firmicutes|c__Erysipelotrichi
k__Bacteria|p__Firmicutes|c__RF3
k__Bacteria|p__Fusobacteria|c__Fusobacteria
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria
k__Bacteria|p__Synergistetes|c__Synergistia
k__Bacteria|p__Tenericutes|c__Mollicutes
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales
k__Bacteria|p__Firmicutes|c__Bacilli|o__unclassified
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales
k__Bacteria|p__Firmicutes|c__Clostridia|o__SHA-98
k__Bacteria|p__Firmicutes|c__Clostridia|o__unclassified
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales
k__Bacteria|p__Firmicutes|c__RF3|o__ML615J-28
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__unclassified
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__unclassified
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales|f__Victivallaceae
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__unclassified|f__unclassified
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32|f__unclassified
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__unclassified|f__unclassified
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__unclassified
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Moraxellaceae
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Dethiosulfovibrionaceae
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Anaeroplasmatales|f__Anaeroplasmataceae
k__Bacteria|p__Tenericutes|c__Mollicutes|o__RF39|f__unclassified
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Parascardovia
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__|g__
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__S24-7|g__
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Barnesiellaceae]|g__
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Butyricimonas
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Odoribacteraceae]|g__Odoribacter
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__Paraprevotella
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__[Paraprevotellaceae]|g__[Prevotella]
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__
k__Bacteria|p__Cyanobacteria|c__4C0d-2|o__YS2|f__|g__
k__Bacteria|p__Cyanobacteria|c__Chloroplast|o__Streptophyta|f__|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Pediococcus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Leuconostoc
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__|g__
k__Bacteria|p__Firmicutes|c__Bacilli|o__Turicibacterales|f__Turicibacteraceae|g__Turicibacter
k__Bacteria|p__Firmicutes|c__Bacilli|o__|f__|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Catabacteriaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Anaerococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Mogibacterium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Peptoniphilus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Sarcina
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnobacterium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__[Ruminococcus]
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__Peptococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__rc4-4
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Acidaminococcus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Dialister
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megamonas
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Megasphaera
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Mitsuokella
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Negativicoccus
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Phascolarctobacterium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Selenomonas
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__Coriobacteriaceae|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__Coriobacteriales|f__|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__SHA-98|f__|g__
k__Bacteria|p__Firmicutes|c__Clostridia|o__|f__|g__
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__[Eubacterium]
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__cc_115
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Catenibacterium
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__Coprobacillus
k__Bacteria|p__Firmicutes|c__Erysipelotrichi|o__Erysipelotrichales|f__[Coprobacillaceae]|g__
k__Bacteria|p__Firmicutes|c__RF3|o__ML615J-28|f__|g__
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__J2-29
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__Victivallales|f__Victivallaceae|g__
k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]|o__|f__|g__
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__RF32|f__|g__
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__mitochondria|g__
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Curvibacter
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Ralstonia
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Eikenella
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__|f__|g__
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio
